region,annee,type,nb_etab,nb_ecrans,nb_fauteuils,nb_seances,nb_entrees,recette,rme,indice_freq,tmof
CENTRE-VAL DE LOIRE,2007,AE,33,75,13204,69630.0,1697133.0,8563028.0,5.045584524017858,0.6581626717216217,13.902973045173583
CORSE,2007,AE,5,11,2294,5411.0,148466.0,901173.0,6.069894790726496,0.45363187211068096,14.966134516382345
GRAND EST,2007,AE,58,158,27870,166883.0,3561750.0,19201388.0,5.390998245244613,0.6407668585504124,12.393473282239551
HAUTS-DE-FRANCE,2007,AE,50,160,27539,183144.0,3807949.0,20249837.0,5.3177805164932614,0.6336046932633341,12.35955424514829
ILE-DE-FRANCE,2007,AE,155,318,56167,405746.8923183918,10069259.03057088,53752858.27263673,5.33831318763772,0.8334000182890453,15.560114607164161
NORMANDIE,2007,AE,55,127,25652,117551.0,3020042.0,15757390.0,5.217606245211159,0.904439508363104,12.915564261608214
NOUVELLE AQUITAINE,2007,AE,153,269,50320,228415.0,5594829.0,28588633.0,5.109831417546452,0.9464342444077475,13.781324559521735
OCCITANIE,2007,AE,129,215,35626,172723.0,4608293.0,22129215.0,4.802041667055459,0.7980854440929759,17.075341524949664
PAYS DE LA LOIRE,2007,AE,66,131,24414,117496.0,3521959.0,19216558.0,5.456212863352469,0.9471420288545526,17.083307948981915
PROVENCE-ALPES-COTE D'AZUR,2007,AE,74,151,22016,170524.0,4057554.0,21167697.0,5.216861439182325,0.8102181779189481,16.472346312922916
AUVERGNE-RHONE-ALPES,2008,AE,161,290,47716,245417.0,6313803.0,32816402.0,5.197565080823713,0.8014781729383381,16.288216944148996
BOURGOGNE-FRANCHE-COMTE,2008,AE,52,144,25222,161581.0,3540112.0,19654403.0,5.551915589111305,1.2547283864809775,12.242892689598884
BRETAGNE,2008,AE,84,149,28663,111530.0,3490881.0,18358200.0,5.258901692724558,1.0598178423425475,16.946114760806974
CENTRE-VAL DE LOIRE,2008,AE,34,78,13771,71778.0,1806807.0,9348250.0,5.173906233482602,0.7006951855896552,13.878048465754967
CORSE,2008,AE,4,7,1550,2819.0,67744.0,377977.0,5.579490434577232,0.20698905839900025,12.922966574719485
GRAND EST,2008,AE,56,156,27384,172244.0,3850605.0,21462158.0,5.5737106246940415,0.6927325245647534,13.050284709082668
